"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@VMBJP @MOS_MEA sir please have a word with uae officials and make arrangement for our return to UAE even Ethihad a… https://t.co/pH6KRcPkRX",FALSE,0,"VMBJP",2020-06-04 13:02:44,TRUE,NA,"1268528614972129280","78312924","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamdileepmavila",0,FALSE,FALSE,NA,NA
"2","RT @um_e_salma: World Airports opening dates <U+0001F6E9><U+0001F6EC><U+0001F6EB><U+2708><U+FE0F>*

1. Lebanon <U+0001F1F1><U+0001F1E7> July 15, 2020
2. Bahrain <U+0001F1E7><U+0001F1ED> June 10, 2020
3. Qatar <U+0001F1F6><U+0001F1E6> June 10, 2020
4. J…",FALSE,0,NA,2020-06-04 12:27:49,FALSE,NA,"1268519827263668227",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdnaSipahi",1,TRUE,FALSE,NA,NA
"3","RT @fahad_ktg: World Airports opening dates <U+0001F6E9><U+0001F6EC><U+0001F6EB><U+2708><U+FE0F>

1. Lebanon <U+0001F1F1><U+0001F1E7> July 15, 2020
2. Bahrain <U+0001F1E7><U+0001F1ED> June 10, 2020
3. Qatar <U+0001F1F6><U+0001F1E6> June 10, 2020
4. Jor…",FALSE,0,NA,2020-06-04 12:22:20,FALSE,NA,"1268518447807442944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sadiq_406",8,TRUE,FALSE,NA,NA
"4","RT @pavani35669209: @HHAhmedBinSaeed @emirates @DXB Greatest news ever! Thank you so much <U+0001F64F> EK, EY, FZ and Air Arabia please fly back stran…",FALSE,0,NA,2020-06-04 12:01:24,FALSE,NA,"1268513177513242624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrssharma03",18,TRUE,FALSE,NA,NA
"5","Air Arabia confirms additional job losses among revenues collapse https://t.co/lEv1qGTmth",FALSE,0,NA,2020-06-04 11:25:02,FALSE,NA,"1268504027672637440",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","ArabianAeroNews",0,FALSE,FALSE,NA,NA
"6","@HardeepSPuri Sir, we stranded UAE expat in India requesting you <U+0001F64F><U+0001F64F><U+0001F64F> to allow Emirates/Etihad/ Air Arabia to India.… https://t.co/GKY9U5rHOl",FALSE,1,"HardeepSPuri",2020-06-04 11:19:39,TRUE,NA,"1268502673935831040","2289628938","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","nikul_panchal84",0,FALSE,FALSE,NA,NA
"7","RT @AmitGangurde19: #UAEResidentsinIndia @HardeepSPuri  @cgidubai @DrSJaishankar @aisha19182008 , the ball’s in your court sir !!! Please a…",FALSE,0,NA,2020-06-04 11:15:27,FALSE,NA,"1268501614148456449",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","San45313835",3,TRUE,FALSE,NA,NA
"8","RT @PraveenKamath16: Please approve Etihad, Emirates, Air Arabia &amp; Fly Dubai to operate one-way flights to India to take back stranded resi…",FALSE,0,NA,2020-06-04 11:13:18,FALSE,NA,"1268501074853298177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","San45313835",7,TRUE,FALSE,NA,NA
"9","@airarabiagroup I meant to say, air arabia doesn't come to Pakistan. Do forward my tweet to upper management. I wan… https://t.co/Qa0VlVl9dH",FALSE,0,"airarabiagroup",2020-06-04 10:59:07,TRUE,"1268496303664902144","1268497506746413056","74085917","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","realshady007",0,FALSE,FALSE,NA,NA
"10","RT @SatyaPA70387745: @zobagha @UAEembassyIndia @HardeepSPuri @DrSJaishankar Plz allow EK EY FZ N AIR ARABIA to oprt to Indian cities so tha…",FALSE,0,NA,2020-06-04 10:34:15,FALSE,NA,"1268491248756830214",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dhawalgesota",1,TRUE,FALSE,NA,NA
"11","RT @TravelNewsAsia: Etihad Airways, Emirates, Fly Dubai and Air Arabia have been granted permission by government of #UAE to resume transit…",FALSE,0,NA,2020-06-04 10:12:12,FALSE,NA,"1268485699256438785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Carlotad",1,TRUE,FALSE,NA,NA
"12","RT @AmitGangurde19: #UAEResidentsinIndia @HardeepSPuri  @cgidubai @DrSJaishankar @aisha19182008 , the ball’s in your court sir !!! Please a…",FALSE,0,NA,2020-06-04 10:05:04,FALSE,NA,"1268483903456710657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Patelnileshr",3,TRUE,FALSE,NA,NA
"13","The UAE's Air Arabia and Emirates airline lay off staff, including in Emirates case trainee pilots.… https://t.co/2rZL6pe4JR",FALSE,1,NA,2020-06-04 10:00:28,TRUE,NA,"1268482744394354688",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TonyWalsh_me",0,FALSE,FALSE,NA,NA
"14","@AChristitos @EconomicTimes Hi Antonia, 

Thanks for reaching out to us. 

Air Arabia respects all passengers equal… https://t.co/evwoo6deuj",FALSE,0,"AChristitos",2020-06-04 09:55:06,TRUE,"1268395071428276224","1268481396839981056","1253589373263712256","<a href=""http://www.falcon.io"" rel=""nofollow"">Falcon Social Media Management </a>","airarabiagroup",0,FALSE,FALSE,NA,NA
"15","World Airports opening dates <U+0001F6E9><U+0001F6EC><U+0001F6EB><U+2708><U+FE0F>*

1. Lebanon <U+0001F1F1><U+0001F1E7> July 15, 2020
2. Bahrain <U+0001F1E7><U+0001F1ED> June 10, 2020
3. Qatar <U+0001F1F6><U+0001F1E6> June 10, 2… https://t.co/ftILKSMmNr",FALSE,6,NA,2020-06-04 09:45:52,TRUE,NA,"1268479071266263041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","um_e_salma",1,FALSE,FALSE,NA,NA
"16","RT @AmitGangurde19: #UAEResidentsinIndia @HardeepSPuri  @cgidubai @DrSJaishankar @aisha19182008 , the ball’s in your court sir !!! Please a…",FALSE,0,NA,2020-06-04 09:26:41,FALSE,NA,"1268474241827123200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ASGAR2020A",3,TRUE,FALSE,NA,NA
"17","#UAEResidentsinIndia @HardeepSPuri  @cgidubai @DrSJaishankar @aisha19182008 , the ball’s in your court sir !!! Plea… https://t.co/MVN1syHNIR",FALSE,0,NA,2020-06-04 09:26:18,TRUE,NA,"1268474149309014017",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmitGangurde19",3,FALSE,FALSE,NA,NA
"18","@zobagha @UAEembassyIndia @HardeepSPuri @DrSJaishankar Plz allow EK EY FZ N AIR ARABIA to oprt to Indian cities so… https://t.co/46MZVzGgHh",FALSE,1,"zobagha",2020-06-04 09:21:41,TRUE,"1268469407002398721","1268472987130331138","428996489","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SatyaPA70387745",1,FALSE,FALSE,NA,NA
